ID,Institution,sex,years,pubs,outcome
164,3,1,6,4,2
166,2,1,6,4,2
167,2,1,6,4,2
447,2,2,6,4,2
448,2,2,6,4,2
453,1,2,6,4,2
457,2,2,6,4,2
460,2,2,6,4,2
463,3,2,6,4,2
205,2,2,7,4,1
472,2,2,7,4,2
22,2,1,8,4,1
180,2,1,8,4,2
218,2,2,8,4,1
222,2,2,8,4,1
488,3,2,8,4,2
229,2,2,9,4,1
241,2,2,9,4,1
246,2,2,10,4,1
34,2,1,11,4,1
266,2,2,11,4,1
268,1,2,11,4,1
35,2,1,4,5,3
40,2,1,4,5,3
41,2,1,4,5,3
42,2,1,4,5,3
46,2,1,4,5,3
47,3,1,4,5,3
48,3,1,4,5,3
52,2,1,4,5,3
54,2,1,4,5,3
55,1,1,4,5,3
58,1,1,4,5,3
59,2,1,4,5,3
60,2,1,4,5,3
63,3,1,4,5,3
70,3,1,4,5,3
104,3,1,4,5,2
108,2,1,4,5,2
112,2,1,4,5,2
118,1,1,4,5,2
278,1,2,4,5,3
284,3,2,4,5,3
289,3,2,4,5,3
297,3,2,4,5,3
305,3,2,4,5,3
306,3,2,4,5,3
353,2,2,4,5,2
355,2,2,4,5,2
358,2,2,4,5,2
368,2,2,4,5,2
369,3,2,4,5,2
372,3,2,4,5,2
384,3,2,4,5,2
387,3,2,4,5,2
395,3,2,4,5,2
78,3,1,5,5,3
85,2,1,5,5,3
121,2,1,5,5,2
123,2,1,5,5,2
124,3,1,5,5,2
140,3,1,5,5,2
141,3,1,5,5,2
312,2,2,5,5,3
404,2,2,5,5,2
405,1,2,5,5,2
418,1,2,5,5,2
422,2,2,5,5,2
426,2,2,5,5,2
431,3,2,5,5,2
432,2,2,5,5,2
433,3,2,5,5,2
149,2,1,6,5,2
329,3,2,6,5,3
333,2,2,6,5,3
441,2,2,6,5,2
446,1,2,6,5,2
450,2,2,6,5,2
451,2,2,6,5,2
169,3,1,7,5,2
171,2,1,7,5,2
467,2,2,7,5,2
470,2,2,7,5,2
471,2,2,7,5,2
477,2,2,7,5,2
480,3,2,7,5,2
174,3,1,8,5,2
179,3,1,8,5,2
181,2,1,8,5,2
182,2,1,8,5,2
185,2,1,8,5,2
491,2,2,8,5,2
492,1,2,8,5,2
24,1,1,9,5,1
271,1,2,12,5,1
274,2,2,14,5,1
37,2,1,4,6,3
44,2,1,4,6,3
45,2,1,4,6,3
49,2,1,4,6,3
64,2,1,4,6,3
66,2,1,4,6,3
68,2,1,4,6,3
73,1,1,4,6,3
111,1,1,4,6,2
115,2,1,4,6,2
275,2,2,4,6,3
276,3,2,4,6,3
277,3,2,4,6,3
280,3,2,4,6,3
283,2,2,4,6,3
286,2,2,4,6,3
300,2,2,4,6,3
304,2,2,4,6,3
308,3,2,4,6,3
309,3,2,4,6,3
354,3,2,4,6,2
81,3,1,5,6,3
127,3,1,5,6,2
135,2,1,5,6,2
147,2,1,5,6,2
310,2,2,5,6,3
315,2,2,5,6,3
406,2,2,5,6,2
408,3,2,5,6,2
410,2,2,5,6,2
416,2,2,5,6,2
423,2,2,5,6,2
430,2,2,5,6,2
148,2,1,6,6,2
155,2,1,6,6,2
162,2,1,6,6,2
320,2,2,6,6,3
322,2,2,6,6,3
326,2,2,6,6,3
331,1,2,6,6,3
332,1,2,6,6,3
334,2,2,6,6,3
335,2,2,6,6,3
336,3,2,6,6,3
444,2,2,6,6,2
445,2,2,6,6,2
454,2,2,6,6,2
456,3,2,6,6,2
458,3,2,6,6,2
92,3,1,7,6,3
341,2,2,7,6,3
343,2,2,7,6,3
466,2,2,7,6,2
473,2,2,7,6,2
478,2,2,7,6,2
479,2,2,7,6,2
484,1,2,7,6,2
485,1,2,7,6,2
486,1,2,7,6,2
94,1,1,8,6,3
176,2,1,8,6,2
184,2,1,8,6,2
186,2,1,8,6,2
348,2,2,8,6,3
493,2,2,8,6,2
494,2,2,8,6,2
495,1,2,9,6,2
496,1,2,9,6,2
36,2,1,4,7,3
38,2,1,4,7,3
43,2,1,4,7,3
51,2,1,4,7,3
56,2,1,4,7,3
71,2,1,4,7,3
279,1,2,4,7,3
281,1,2,4,7,3
282,1,2,4,7,3
285,1,2,4,7,3
290,1,2,4,7,3
292,2,2,4,7,3
293,3,2,4,7,3
295,2,2,4,7,3
296,1,2,4,7,3
299,1,2,4,7,3
301,1,2,4,7,3
307,2,2,4,7,3
379,2,2,4,7,2
74,3,1,5,7,3
79,3,1,5,7,3
80,3,1,5,7,3
438,3,2,5,7,2
89,3,1,6,7,3
152,3,1,6,7,2
153,2,1,6,7,2
319,2,2,6,7,3
324,2,2,6,7,3
328,3,2,6,7,3
330,2,2,6,7,3
442,2,2,6,7,2
452,1,2,6,7,2
455,1,2,6,7,2
459,1,2,6,7,2
461,1,2,6,7,2
462,2,2,6,7,2
93,2,1,7,7,3
173,2,1,7,7,2
339,1,2,7,7,3
342,1,2,7,7,3
468,2,2,7,7,2
482,2,2,7,7,2
483,2,2,7,7,2
175,1,1,8,7,2
177,1,1,8,7,2
178,1,1,8,7,2
183,1,1,8,7,2
487,2,2,8,7,2
96,3,1,9,7,3
497,2,2,9,7,2
498,2,2,9,7,2
499,2,2,9,7,2
61,3,1,4,8,3
65,2,1,4,8,3
72,2,1,4,8,3
288,1,2,4,8,3
294,1,2,4,8,3
302,1,2,4,8,3
76,1,1,5,8,3
77,1,1,5,8,3
82,1,1,5,8,3
84,2,1,5,8,3
86,2,1,5,8,3
311,2,2,5,8,3
316,3,2,5,8,3
317,3,2,5,8,3
318,2,2,5,8,3
87,1,1,6,8,3
88,1,1,6,8,3
159,2,1,6,8,2
325,3,2,6,8,3
327,2,2,6,8,3
340,3,2,7,8,3
345,2,2,7,8,3
347,1,2,8,8,3
490,1,2,8,8,2
187,1,1,9,8,2
188,1,1,11,8,2
500,2,2,11,8,2
50,2,1,4,9,3
53,2,1,4,9,3
57,1,1,4,9,3
75,2,1,5,9,3
313,1,2,5,9,3
321,2,2,6,9,3
323,1,2,6,9,3
337,1,2,6,9,3
344,1,2,7,9,3
346,1,2,7,9,3
95,1,1,8,9,3
69,1,1,4,10,3
90,1,1,6,10,3
338,1,2,6,10,3
