id,rosen_se,panas_n,panas_p,neo_n,neo_e,neo_o,neo_a,neo_c
51,4,3.428571429,3.125,2.083333,1.666667,3.166667,2.666667,3.333333
52,3,2.464285714,1.25,3.583333,4.25,4.166667,4.583333,3.666667
53,2.6,1.75,1.875,3.5,3.166667,3.666667,4.083333,3.333333
54,3.5,1,1.3125,2.416667,3.083333,3.75,3.25,3.583333
55,3.7,1.678571429,3.75,2.416667,3.583333,3.5,3.5,3.083333
56,3.2,1.857142857,3.125,2.583333,3.833333,4,3.818182,3.916667
57,3.3,1.892857143,3.8125,2.166667,3.25,4.166667,4.166667,4.083333
58,3.3,1.964285714,3,2.75,2.666667,3.75,3.166667,3.333333
59,3.2,1.892857143,2.3125,2.666667,3.666667,3.666667,3.583333,4.083333
60,2.9,2.428571429,1.4375,3.583333,3.416667,4.25,3,2.416667
61,3.5,1.178571429,3.25,2.583333,3.583333,3.666667,4.583333,4.25
62,4,2.518518519,2.5625,2.5,3.25,3.5,3,3.083333
63,3.7,1.392857143,4.8125,2.916667,3.916667,3.083333,4.166667,4.416667
64,3.6,1.071428571,2.1875,1.25,4.083333,2.5,4.333333,4.166667
65,1.5,1.785714286,2.125,3.833333,3.083333,3.416667,4.5,3.833333
66,3.1,2.071428571,1.625,3.583333,3.416667,3.333333,3.5,3
67,3.8,1.464285714,3.4375,2.666667,3.416667,3.75,3.916667,3.833333
68,3.2,1.714285714,1.25,2.833333,3.5,3.333333,3.916667,3.416667
69,3.6,1.071428571,1.75,2.75,4.833333,4.25,4.166667,2.333333
70,3.2,3.5,1.6875,2.666667,3.166667,2.416667,2.666667,3.25
71,3.5,2.035714286,4.125,2.833333,3.166667,3.916667,3.666667,2.75
72,4,1,2.3125,1.333333,4.166667,2.916667,3.5,3.75
73,3.8,1.107142857,1.6875,3,4.5,3.333333,2.583333,2.75
74,3.2,1.607142857,2.875,2.916667,3.75,3.333333,3.75,2.916667
75,1,1.25,3.5,1.833333,4.5,4,4.583333,4.75
76,2.4,2.357142857,3.3125,3.666667,3.333333,3.75,3.25,3.166667
77,3,3.333333333,2.5,3.666667,3,4.583333,4.75,1.333333
79,3.2,1.035714286,1.9375,2.416667,3.916667,3.416667,3.75,2.666667
80,2.4,2.392857143,1.875,3.75,3.833333,4.166667,3.583333,2.416667
81,3.1,1.392857143,4.4375,3,4.583333,4.5,4.416667,2.166667
82,2.2,2.555555556,1.5625,4.083333,3.25,3.583333,3.333333,3.5
83,2.333333333,2.321428571,3.375,2.833333,4.166667,3.833333,4,3.75
84,2.9,3.428571429,2.5625,2.916667,2.916667,3,3.333333,3.833333
85,3.5,1.392857143,2.9375,3,3.666667,4.25,4,3.416667
86,2.5,1.642857143,1.875,3,3.333333,3.833333,3.666667,1.583333
87,3.5,2.964285714,1.3125,2.916667,2.333333,3.75,4.416667,3
88,2.3,2.75,2.1875,4.333333,3.083333,4.833333,4.583333,2.75
89,3.4,2.035714286,4.4375,2.416667,4.166667,3.666667,4,3.333333
90,3,1.607142857,2.9375,2.909091,4,4.5,3.916667,3.083333
91,3.2,1.814814815,2.125,3.333333,3,4,4.083333,3
92,3.5,3.571428571,3.625,3.5,2.5,3.166667,3.5,3.166667
93,3.6,2.142857143,2.625,2,4,3.333333,3.75,4.181818
94,2.9,2.857142857,2.1875,4.416667,3.5,3,1.916667,3.833333
95,2.9,1.703703704,2.1875,2.833333,3.583333,3.333333,4.083333,2.666667
96,1.9,3.035714286,1.1875,4,3.916667,3.75,2.75,1.833333
97,2.8,1.321428571,3.125,2.25,3.916667,4.333333,4.083333,3.166667
99,2.7,3.5,1.5,4,3.166667,3.333333,3.833333,3.75
100,3,1.071428571,3.25,2.25,4,1.833333,3.833333,4.25
101,3.8,1,1.0625,2.5,2.583333,2,3.25,3.833333
102,3.1,1.035714286,1.375,2.5,3.083333,3.666667,3.75,3.5
103,2.8,1.892857143,3.5625,3.25,3.416667,3.583333,3,3.083333
104,3,2.964285714,2.4375,2.5,3.166667,3.416667,3.833333,4
105,3.4,1.444444444,2.6875,3.916667,3.75,3.583333,4,4.166667
106,2.8,1.285714286,1.133333333,4.083333,3.166667,3.916667,2.5,3.5
107,3.5,1.857142857,1.5625,2.666667,4.166667,4.333333,3.083333,2.916667
108,2.9,2,1.875,3.583333,3,3.333333,3.166667,2.833333
109,3.4,2.964285714,3.1875,3.416667,3.25,3.333333,2.916667,2.75
110,2.9,2.333333333,1.25,3.083333,3.666667,3.083333,3.583333,3.666667
111,3.8,2.035714286,3.4375,2.583333,4.333333,3.75,4.166667,3.5
112,2.4,2.785714286,3.375,4.166667,3.583333,3.333333,3.75,4.333333
113,3.4,1.035714286,2.25,1.916667,4.083333,2.666667,3.916667,4.083333
114,2.9,2.785714286,3.25,2.916667,3.75,2.583333,3.5,3.916667
115,3.5,2.428571429,4.125,1.75,3.833333,4.333333,4.25,3.416667
116,3.5,1.5,1.6,3.166667,3.666667,3,3.083333,4.25
117,3,2.714285714,2.8125,3.5,3.166667,3.333333,3.333333,3.833333
118,3.6,1.892857143,3.625,2.333333,3.75,3.5,4.083333,4.083333
119,3,2.107142857,2.1875,3.666667,3.5,3.166667,3.416667,3.583333
120,3.2,2.571428571,4.75,3.666667,3.083333,4.583333,4.083333,4.333333
121,2.4,3.148148148,2.4375,3.083333,4.083333,2.833333,3.916667,2.833333
122,2.6,2.464285714,2.4375,3.666667,3.583333,2.666667,3.416667,3.75
123,3.1,2.178571429,1.4375,3.25,3.416667,3.75,3.583333,3.75
124,3.8,1.357142857,3.4375,1.833333,3.666667,2.583333,3.5,4.666667
125,3.2,2.035714286,2.6875,3.666667,3.333333,4.333333,3.416667,3.833333
126,3.1,1.214285714,3.4,2.833333,3.25,2.75,3.166667,4
127,3.4,3.714285714,2.1875,3.083333,4.416667,4.166667,4.833333,4.166667
128,2.6,1.142857143,2.5,3.416667,3.25,3.166667,3.583333,3.666667
129,2.9,1.285714286,2.8125,2.916667,3.666667,3.75,3.916667,4
