item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,total
3,5,1,2,1,4,2,2,2,5,5,1,3,4,4,1,2,4,51
2,4,1,1,2,3,2,4,2,4,5,1,4,5,3,2,2,5,52
5,5,1,1,1,5,1,1,1,5,5,1,4,4,5,1,1,4,51
4,4,2,2,2,4,2,1,2,4,4,1,3,4,4,2,2,2,49
4,2,2,1,1,3,5,5,2,4,4,2,2,2,4,2,2,4,51
2,5,1,1,1,4,3,1,2,4,3,2,3,3,4,2,1,5,47
4,5,2,1,4,4,1,5,1,2,5,1,2,2,3,4,1,5,52
4,4,1,1,1,5,2,2,2,5,4,2,4,4,5,3,2,4,55
3,5,2,2,2,4,3,1,1,5,4,1,3,5,4,1,1,5,52
4,5,2,4,2,4,2,2,4,5,5,1,4,5,4,5,3,2,63
4,4,2,1,2,2,4,1,1,5,4,2,2,2,5,1,1,2,45
2,3,2,4,2,4,4,2,2,4,4,3,4,3,4,4,2,4,57
5,5,1,1,1,5,1,2,1,5,5,1,5,5,5,1,1,5,55
5,5,1,1,1,5,1,2,1,5,5,1,5,5,5,2,1,1,52
2,4,1,1,1,1,3,3,1,4,5,1,3,5,3,4,4,4,50
3,4,2,2,2,4,3,4,3,3,4,1,4,4,4,2,1,4,54
3,4,4,3,2,3,4,2,1,3,4,1,3,4,3,3,1,3,51
5,5,1,1,1,3,1,4,1,5,5,1,4,5,5,1,4,5,57
3,4,2,2,2,4,3,4,2,4,4,1,3,4,5,2,1,4,54
3,4,4,1,1,4,3,3,2,4,4,1,3,3,4,1,1,4,50
1,2,5,5,4,1,4,5,5,1,1,1,1,1,5,5,5,1,53
4,2,4,1,1,4,2,2,2,4,2,1,5,5,1,3,4,1,48
3,2,5,1,5,2,5,3,1,4,4,5,3,4,3,1,1,2,54
5,3,2,1,2,4,1,2,1,4,4,1,3,4,1,2,1,5,46
4,5,1,1,1,2,1,1,2,5,5,1,5,5,5,5,4,2,55
3,2,5,3,2,3,1,4,4,4,5,1,2,1,3,2,1,3,49
4,4,3,3,3,2,2,4,4,4,3,2,4,2,4,3,3,2,56
3,4,1,1,1,5,2,2,4,3,5,4,2,2,1,1,1,3,45
2,3,2,2,3,3,2,4,4,4,4,3,2,4,3,4,2,3,54
2,3,1,2,4,3,3,2,1,5,4,3,2,2,3,4,1,4,49
5,5,1,1,1,4,1,2,1,5,5,1,5,5,5,3,1,3,54
1,4,1,3,2,1,1,4,5,1,1,3,1,1,4,1,1,4,39
1,3,2,2,5,5,3,4,3,5,4,2,3,4,4,1,3,3,57
4,4,1,4,4,4,4,1,2,4,1,2,4,4,4,4,2,2,55
1,5,1,2,1,5,2,1,2,5,5,3,5,5,5,4,1,4,57
4,4,2,2,2,4,2,2,3,4,2,2,2,4,2,2,2,4,49
2,2,2,3,3,3,4,2,2,3,2,4,2,2,3,4,2,2,47
4,4,1,1,1,5,1,1,1,5,5,1,4,4,4,1,1,5,49
1,2,3,4,2,2,4,4,5,3,3,4,1,1,4,2,4,4,53
4,4,1,1,1,2,1,2,2,1,2,1,4,4,5,2,1,5,43
1,2,2,2,1,2,4,4,2,5,4,1,4,2,2,4,4,1,47
1,3,2,2,1,4,2,2,4,4,2,2,1,4,4,3,2,4,47
1,1,3,2,4,4,2,4,2,4,4,3,2,2,2,2,2,2,46
4,5,1,1,1,4,1,1,1,4,5,2,4,4,5,3,2,4,52
5,5,1,1,1,5,1,2,1,5,5,1,5,5,5,2,1,5,56
3,4,1,2,2,3,1,1,3,5,5,1,4,4,3,1,1,4,48
1,3,4,2,5,1,4,1,1,3,4,4,3,4,5,3,1,2,51
4,4,2,2,2,4,4,2,2,4,5,1,4,4,4,1,1,4,54
2,4,1,1,1,2,5,5,2,4,4,1,4,2,4,2,2,2,48
1,5,1,1,1,3,5,4,5,4,5,1,3,4,1,3,1,3,51
3,3,2,3,3,3,3,2,1,4,3,3,1,3,3,1,1,2,44
4,3,2,2,2,1,2,2,1,4,4,2,4,3,4,2,3,2,47
4,5,1,1,1,5,1,1,1,5,5,1,4,4,4,2,2,3,50
3,4,2,2,2, ,2,2,2,4,4,2,3,5,5,1,2,5,50
2,4,2,4,3,2,4,2,2,4,3,4,2,3,4,4,2,2,53
4,5,1,1,1,4,2,1,1,4,5,1,3,4,1,1,2,4,45
2,3,2,1,2,3,3,3,4,4,4,2,4,4,4,2,3,3,53
3,3,2,2,4,4,1,3,2,3,4,1,4,4,4,3,3,4,54
5,1,2,3,5,1,4,2,5,4,2,4,3,5,2,1,4,5,58
4,4,3,1,2,3,2,4,1,5,4,2,3,4,4,2,1,2,51
4,4,2,2,2,3,3,2,3,2,4,3,4,3,4,2,2,4,53
2,4,2,3,2,3,3,4,2,3,5,2,4,3,2,4,1,4,53
5,5,1,3,1,5,4,4,1,2,5,1,5,5,5,1,2,5,60
3,5,1,1,1,4,1,4,1,5,5,1,2,4,3,1,4,5,51
2,3,3,3,4,2,4,2,4,3,4,2,3,2,3,2,2,4,52
4,5,1,1,1,3,2,4,4,5,5,1,5,4,5,2,1,3,56
4,5,1,1,1,4,2,2,2,5,5,1,5,5,5,1,1,4,54
4,5,1,1,1,4,1,3,1,4,4,1,2,5,1,2,1,5,46
4,5,1,2,2,4,1,3,4,5,5,1,4,5,4,2,1,4,57
4,4,4,2,1,4,5,3,4,4,4,1,3,5,4,2,5,5,64
5,5,2,2,2,3,3,1,2,4,4,2,3,3,5,4,2,3,55
4,5,1,1,1,5,1,1,1,5,5,1,5,5,5,4,1,1,52
4,5,2,2,1,4,1,5,2,4,5,1,4,3,2,3,1,5,54
1,4,1,1,1,5,1,1,5,5,5,1,3,5,3,4,2,5,53
4,4,1,1,1,4,1,2,2,4,4,1,3,3,3,2,2,3,45
4,4,2,2,1,4,1,2,2,5,5,1,4,4,5,1,1,2,50
4,4,1,1,2,2,4,3,2,4,4,2,4,4,4,2,2,3,52
1,4,2,1,1,3,3,2,4,4,4,1,3,4,3,2,1,3,46
3,4,2,2,3,2,3,2,4,4,5,1,3,5,4,2,3,4,56
2,4,2,1,4,4,5,4,2,4,4,4,2,2,4,4,1,2,55
1,2,3,4,4,3,3,4,1,3,3,4,3,3,3,3,5,4,56
1,3,2,3,3, ,2,5, , , ,1,4, ,2, , , ,26
1,1,2,2,3,2,5,5,4,1,1,1,1,2,3,5,3,3,45
1,5,2,1,5,3,1,5,2, , ,5,2,1,5,2,2,1,43
3,4,4,2,1,4,2,2,1,4,4,1,3,4,3,1,1,5,49
4,5,1,1,1,4,1,2,1,5,5,1,4,3,4,1,1,5,49
4,3,4,2,2,5,4,2,2,4,4,2,2,3,4,2,2,5,56
4,5,1,1,1,5,3,1,1,5,5,1,5,5, ,1,1,4,49
4,5,2,2,1,3,2,2,1,5,5,2,4,4,5,2,1,3,53
3,5,1,1,1,4,4,1,1,4,4,1,5,5,4,1,2,4,51
1,3,3,4,2,3,2,3,4,4,4,1,1,4,4,3,3,2,51
4,4,5,1,2,1,2,2,4,4,5,1,4,4,4,2,2,1,52
5,4,1,2,1,4,5,5,1,5,5,1,3,2,5,5,1,2,57
4,5,1,1,1,4,1,1,1,5,5,1,4,3, ,1,1,2,41
3,4,1,1,2,2,2,3,1,4,4,1,2,4,4,1,1,4,44
4,4,1,1,1,4,2,3,2,4,4,1,5,5,4,1,1,4,51
4,3,1,2,2,3,3,4,2,5,4,1,4,4,4,2,3,2,53
3,4,2,1,2,3,3,3,3,4,4,2,4,5,4,3,4,4,58
4,5,1,1,1,4,1,1,1,5,5,1,3,5,4,1,1,1,45
3,5,3,3,1,1,3,3,5,3,4,1,3,4,3,4,1,3,53
3,3,1,1,1,3,1,2,2,2,3,2,3,3,2,1,1,2,36
1,1,5,3,3,4,3,2,4,2,1,5,3,4,2,3,4,2,52
4,4,1,1,1,4,5,2,2,5,4,2,4,4,4,2,2,3,54
2,4,1,1,2,1,2,1,1,5,4,2,2,4,5,2,1,4,44
4,4,1,1,1,3,1,2,3,4,5,1,3,5,4,1,1,4,48
2,4,1,1,1,4,1,3,2,2,4,1,4,4,4,1,1,3,43
4,4,2,1,1,2,2,2,4,4,3,2,3,4,4,4,3,3,52
5,5,1,1,1,2,2,1,2,3,5,1,3,2,3,1,1,1,40
1,5,1,5,2,4,3,2,2,4,4,2,4,3,4,4,2,4,56
1,2,2,5,3,5,5,5,2,4,3,3,1,1,3,3,4,1,53
4,4,2,2,2,4,2,2,1,4,4,2,3,4,4,2,2,4,52
3,2,1,4,5,1,2,3, ,5,4,5,3,2,1,2,3,4,50
1,2,2,5,2,2,3,5,4,2,2,4,1,1,1,4,4,4,49
4,3,2,2,1,3,3,2,2,5,5,3,2,3,4,3,1,3,51
4,4,1,1,1,4,2,1,2,4,5,1,5,4,5,1,1,5,51
4,5,1,1,1,4,1,2,2,5,5,1,4,4,5,2,1,2,50
4,2,3,4,4,2,4,4,4,3,4,3,3,2,2,4,3,4,59
4,5,1,1,1,4,1,1,1,5,5,1,5,4,5,2,1,3,50
3,4,2,2,2,2,4,2,3,4,4,5,4,4,2,3,2,1,53
4,4,1,1,1,4,2,2,2,4,5,1,1,4,3,1,1,2,43
4,4,1,2,2,4,2,3,2,5,5,1,5,4,4,2,1,3,54
4,4,2,2,2,4,2,3,4,5,5,1,4,5,4,2,1,4,58
4,5,1,2,2,3,2,2,1,4,5,1,3,4,3,2,1,4,49
4,4,4,3,2,5,2,5,5,4,4,2,2,3,1,3,3,4,60
4,4,1,1,1,3,2,3,2,4,5,1,3,4,4,2,2,4,50
4,4,2,4,2,3,1,2,2,4,4,1,3,4,3,2,1,4,50
5,5,1,1,1,5,1,2,2,5,5,1,4,5,5,1,1,4,54
3,4,2,4,4,3,4,2,2,4,4,3,2,2,3,2,3,3,54
4,4,1,1,1,4,1,1,1,4,4,1,4,4,4,1,1,4,45
3,4,1,2,2,5,4,4,5,4,5,2,5,5,4,2,2,4,63
5,5,1,1,1,1,1,1,1,5,5,1,5,5,5,5,1,3,52
1,2,3,2,2,1,5,5,4,3,3,5,3,1,3,3,5,1,52
2,4,4,2,1,2,4,1,5,4,3,1,2,3,4,1,1,5,49
4,4,1,3,2,5,1,1,2,5,5,1,4,4,5,5,2,5,59
5,5,2,2,1,4,1,1,2,4,5,5,2,4,3,2,1,3,52
4,4,2,2,1,4,1,1,4,4,5,1,4,5,3,2,3,2,52
5,5,1,5,2,5,4,2,1,5,5,1,5,5,4,1,1,4,61
3,4,2,2,1,3,1,2,1,4,4,1,3,3,3,2,3,2,44
2,5,2,3,1,3,2,1,2,5,4,2,3,4,3,2,1,4,49
4,5,1,1,1,2,1,1,1,5,5,1,4,5,1,1,1,2,42
4,4,3,1,1,4,1,2,1,5,5,1,3,3,2,1,1,1,43
3,4,1,1,1,4,1,2,1,5,5,1,3,4,3,2,1,4,46
3,4,2,4,4,3,4,4,2,4,5,4,4,4,3,2,3,2,61
4,4,2,2,1,1,1,4,2,5,4,2,4,4,1,1,4,4,50
4,2,2,4,2,3,5,4,2,4,5,2,3,4,4,2,4,4,60
3,5,2,1,1,4,2,1,3,5,5,2,4,4,4,4,4,4,58
1,4,3,4,4,1,4,4,4,2,4,4,1,4,4,5,5,4,62
4,5,4,2,3,2,4,5,2,2,5,1,1,3,3,1,1,5,53
4,4,2,2,2,3,1,2,2,4,2,2,2,5,4,2,1,5,49
5,5,1,1,1,4,2,2,2,4,5,1,4,5,5,1,2,5,55
1,3,1,1,1,5,2,2,1,3,5,1,3,5,5,2,3,3,47
5,5,4,3,3,4,4,1,5,2,5,1,5,4,4,1,1,4,61
2,4,1,4,2,1,2,5,2,5,4,1,2,4,3,2,2,3,49
5,5,1,1,1,5,1,3,1,5,5,1,2,4,4,2,1,3,50
