ID,sex,gre,pubs,years,interview
393,0,1257,3,4,1
401,0,1163,3,4,1
128,1,1210,3,5,1
138,1,1217,3,5,1
144,1,1278,3,5,1
402,0,1428,3,5,1
403,0,1156,3,5,1
411,0,1198,3,5,1
412,0,1216,3,5,1
414,0,1228,3,5,1
425,0,1220,3,5,1
427,0,1203,3,5,1
434,0,1235,3,5,1
436,0,1305,3,5,1
439,0,1215,3,5,1
2,1,1513,3,6,0
151,1,1215,3,6,1
156,1,1121,3,6,1
160,1,1240,3,6,1
168,1,1038,3,6,1
195,0,1380,3,6,0
443,0,1272,3,6,1
449,0,1284,3,6,1
465,0,1254,3,6,1
12,1,1427,3,7,0
170,1,1239,3,7,0
198,0,1333,3,7,0
212,0,1551,3,7,0
469,0,1178,3,7,1
474,0,1349,3,7,1
475,0,1377,3,7,1
476,0,1194,3,7,0
481,0,1109,3,7,0
19,1,1380,3,8,0
217,0,1473,3,8,0
219,0,1387,3,8,0
220,0,1524,3,8,0
226,0,1228,3,8,0
489,0,1265,3,8,0
23,1,1394,3,9,0
25,1,1294,3,9,0
227,0,1227,3,9,0
239,0,1354,3,9,0
27,1,1306,3,10,0
244,0,1336,3,10,0
252,0,1320,3,10,0
259,0,1219,3,10,0
262,0,1254,3,10,0
32,1,1182,3,11,0
265,0,1254,3,11,0
272,0,1215,3,12,0
273,0,1195,3,13,0
62,1,1157,4,4,1
67,1,1175,4,4,1
97,1,1233,4,4,1
98,1,1330,4,4,1
106,1,1526,4,4,1
107,1,1324,4,4,1
109,1,1342,4,4,1
114,1,1281,4,4,1
117,1,1344,4,4,1
287,0,1215,4,4,1
291,0,1291,4,4,1
298,0,1214,4,4,1
303,0,1203,4,4,1
349,0,1214,4,4,1
350,0,1343,4,4,1
360,0,1317,4,4,1
365,0,1519,4,4,1
366,0,1169,4,4,1
367,0,1123,4,4,1
371,0,1430,4,4,1
374,0,1410,4,4,1
376,0,1252,4,4,1
377,0,1428,4,4,1
382,0,1356,4,4,1
385,0,1328,4,4,1
386,0,1376,4,4,1
390,0,1377,4,4,1
394,0,1325,4,4,1
396,0,1243,4,4,1
397,0,1464,4,4,1
398,0,1396,4,4,1
83,1,1125,4,5,1
126,1,1408,4,5,1
129,1,1292,4,5,1
132,1,1285,4,5,1
133,1,1309,4,5,1
134,1,1195,4,5,1
136,1,1352,4,5,1
139,1,1335,4,5,1
143,1,1318,4,5,1
145,1,1101,4,5,1
314,0,1333,4,5,1
407,0,1255,4,5,1
413,0,1267,4,5,1
415,0,1316,4,5,1
417,0,1355,4,5,1
420,0,1365,4,5,1
421,0,1288,4,5,1
428,0,1272,4,5,1
429,0,1374,4,5,1
437,0,1299,4,5,1
91,1,1145,4,6,1
150,1,1209,4,6,1
154,1,1216,4,6,0
157,1,1256,4,6,0
158,1,1181,4,6,0
161,1,1338,4,6,1
163,1,1389,4,6,0
164,1,1250,4,6,0
166,1,1310,4,6,0
167,1,1282,4,6,1
447,0,1189,4,6,1
448,0,1359,4,6,1
453,0,1377,4,6,1
457,0,1297,4,6,1
460,0,1291,4,6,1
463,0,1135,4,6,1
205,0,1560,4,7,0
472,0,1226,4,7,0
22,1,1272,4,8,0
180,1,1192,4,8,0
218,0,1419,4,8,0
222,0,1542,4,8,0
488,0,1342,4,8,0
229,0,1362,4,9,0
241,0,1423,4,9,0
246,0,1440,4,10,0
34,1,1329,4,11,0
266,0,1398,4,11,0
268,0,1370,4,11,0
35,1,1301,5,4,1
40,1,1336,5,4,1
41,1,1200,5,4,1
42,1,1245,5,4,1
46,1,1334,5,4,1
47,1,1366,5,4,1
48,1,1200,5,4,1
52,1,1273,5,4,1
54,1,1435,5,4,1
55,1,1315,5,4,1
58,1,1316,5,4,1
59,1,1215,5,4,1
60,1,1359,5,4,1
63,1,1136,5,4,1
70,1,1353,5,4,1
104,1,1475,5,4,1
108,1,1267,5,4,1
112,1,1260,5,4,1
118,1,1426,5,4,1
278,0,1284,5,4,1
284,0,1358,5,4,1
289,0,1288,5,4,1
297,0,1265,5,4,1
305,0,1151,5,4,1
306,0,1379,5,4,1
353,0,1395,5,4,1
355,0,1382,5,4,1
358,0,1411,5,4,1
368,0,1362,5,4,1
369,0,1294,5,4,1
372,0,1236,5,4,1
384,0,1396,5,4,1
387,0,1534,5,4,1
395,0,1389,5,4,1
78,1,1274,5,5,1
85,1,1318,5,5,1
121,1,1462,5,5,1
123,1,1351,5,5,1
124,1,1275,5,5,1
140,1,1195,5,5,1
141,1,1290,5,5,1
312,0,1239,5,5,1
404,0,1215,5,5,1
405,0,1388,5,5,1
418,0,1418,5,5,1
422,0,1309,5,5,1
426,0,1413,5,5,1
431,0,1199,5,5,1
432,0,1357,5,5,1
433,0,1261,5,5,1
149,1,1311,5,6,1
329,0,1034,5,6,1
333,0,1186,5,6,1
441,0,1298,5,6,1
446,0,1297,5,6,1
450,0,1160,5,6,1
451,0,1267,5,6,1
169,1,1280,5,7,1
171,1,1189,5,7,1
467,0,1196,5,7,1
470,0,1275,5,7,1
471,0,1364,5,7,1
477,0,1147,5,7,1
480,0,1338,5,7,1
174,1,1373,5,8,1
179,1,1266,5,8,1
181,1,1294,5,8,1
182,1,1101,5,8,1
185,1,1177,5,8,1
491,0,1346,5,8,1
492,0,1142,5,8,1
24,1,1442,5,9,0
271,0,1380,5,12,0
274,0,1268,5,14,0
37,1,1213,6,4,1
44,1,1388,6,4,1
45,1,1113,6,4,1
49,1,1166,6,4,1
64,1,1275,6,4,1
66,1,1410,6,4,1
68,1,1240,6,4,1
73,1,1330,6,4,1
111,1,1401,6,4,1
115,1,1355,6,4,1
275,0,1264,6,4,1
276,0,1448,6,4,1
277,0,1301,6,4,1
280,0,1363,6,4,1
283,0,1237,6,4,1
286,0,1127,6,4,1
300,0,1198,6,4,1
304,0,1407,6,4,1
308,0,1426,6,4,1
309,0,1360,6,4,1
354,0,1496,6,4,1
81,1,1350,6,5,1
127,1,1435,6,5,1
135,1,1499,6,5,1
147,1,1408,6,5,1
310,0,1445,6,5,1
315,0,1306,6,5,1
406,0,1408,6,5,1
408,0,1333,6,5,1
410,0,1413,6,5,1
416,0,1435,6,5,1
423,0,1219,6,5,1
430,0,1337,6,5,1
148,1,1276,6,6,1
155,1,1382,6,6,1
162,1,1437,6,6,1
320,0,1303,6,6,1
322,0,1158,6,6,1
326,0,1229,6,6,1
331,0,1270,6,6,1
332,0,1267,6,6,1
334,0,1267,6,6,1
335,0,1222,6,6,1
336,0,1212,6,6,1
444,0,1429,6,6,1
445,0,1421,6,6,1
454,0,1329,6,6,1
456,0,1294,6,6,1
458,0,1409,6,6,1
92,1,1082,6,7,0
341,0,1141,6,7,0
343,0,1362,6,7,0
466,0,1355,6,7,1
473,0,1304,6,7,1
478,0,1217,6,7,0
479,0,1315,6,7,0
484,0,1217,6,7,0
485,0,1404,6,7,0
486,0,1304,6,7,0
94,1,1166,6,8,0
176,1,1265,6,8,0
184,1,1338,6,8,0
186,1,1252,6,8,0
348,0,1153,6,8,0
493,0,1376,6,8,1
494,0,1209,6,8,1
495,0,1362,6,9,0
496,0,1358,6,9,0
36,1,1255,7,4,1
38,1,1292,7,4,1
43,1,1430,7,4,1
51,1,1498,7,4,1
56,1,1241,7,4,1
71,1,1372,7,4,1
279,0,1478,7,4,1
281,0,1339,7,4,1
282,0,1357,7,4,1
285,0,1287,7,4,1
290,0,1245,7,4,1
292,0,1382,7,4,1
293,0,1275,7,4,1
295,0,1535,7,4,1
296,0,1371,7,4,1
299,0,1494,7,4,1
301,0,1516,7,4,1
307,0,1335,7,4,1
379,0,1554,7,4,1
74,1,1435,7,5,1
79,1,1324,7,5,1
80,1,1426,7,5,1
438,0,1437,7,5,1
89,1,1243,7,6,1
152,1,1357,7,6,1
153,1,1303,7,6,1
319,0,1287,7,6,1
324,0,1166,7,6,1
328,0,1302,7,6,1
330,0,1402,7,6,1
442,0,1349,7,6,1
452,0,1455,7,6,1
455,0,1266,7,6,1
459,0,1481,7,6,1
461,0,1449,7,6,1
462,0,1422,7,6,1
93,1,1411,7,7,0
173,1,1246,7,7,0
339,0,1265,7,7,0
342,0,1139,7,7,0
468,0,1409,7,7,1
482,0,1355,7,7,1
483,0,1343,7,7,1
175,1,1420,7,8,0
177,1,1330,7,8,0
178,1,1403,7,8,0
183,1,1467,7,8,1
487,0,1367,7,8,1
96,1,1317,7,9,0
497,0,1283,7,9,0
498,0,1248,7,9,0
499,0,1329,7,9,1
61,1,1358,8,4,1
65,1,1233,8,4,1
72,1,1439,8,4,1
288,0,1258,8,4,1
294,0,1513,8,4,1
302,0,1308,8,4,1
76,1,1363,8,5,1
77,1,1362,8,5,1
82,1,1375,8,5,1
84,1,1319,8,5,1
86,1,1361,8,5,1
311,0,1245,8,5,1
316,0,1308,8,5,1
317,0,1246,8,5,1
318,0,1193,8,5,1
87,1,1467,8,6,1
88,1,1251,8,6,1
159,1,1335,8,6,1
325,0,1338,8,6,0
327,0,1290,8,6,0
340,0,1430,8,7,1
345,0,1463,8,7,0
347,0,1333,8,8,1
490,0,1297,8,8,0
187,1,1297,8,9,1
188,1,1294,8,11,0
500,0,1297,8,11,0
50,1,1438,9,4,1
53,1,1444,9,4,1
57,1,1401,9,4,1
75,1,1389,9,5,1
313,0,1365,9,5,1
321,0,1332,9,6,1
323,0,1465,9,6,0
337,0,1296,9,6,1
344,0,1173,9,7,0
346,0,1338,9,7,1
95,1,1144,9,8,1
69,1,1428,10,4,1
90,1,1260,10,6,1
338,0,1356,10,6,1
